OBJECTID,UOGID,NAME,TYPE,STUSAB,STATE,CDBG_AMT,ESG_AMT,HOME_AMT,HOPWA_AMT,TOT_AMT,YEAR,SHAPE_Length,SHAPE_Area
611,342646,PRINCETON,52,NJ,34,225797,0,0,0,225797,2021,0.318926660692373,0.00502149955854136
612,273768,PLYMOUTH,51,MN,27,288558,0,0,0,288558,2021,0.499681602919949,0.0105750086895906
613,273930,ROCHESTER,51,MN,27,710025,0,0,0,710025,2021,1.90499179056177,0.01622409719819
614,274164,ST PAUL,51,MN,27,6868621,587816,1873435,0,9329872,2021,0.658947263774747,0.016590020202047
615,275040,WOODBURY CITY,52,MN,27,247140,0,0,0,247140,2021,0.502981495216615,0.0107374077450066
616,279037,DAKOTA COUNTY,61,MN,27,1910573,164454,2417681,0,4492708,2021,2.34658442063235,0.170299958887011
617,279053,HENNEPIN COUNTY,61,MN,27,2917592,250280,1770274,0,4938146,2021,3.10915343709596,0.13172378684736
618,279123,RAMSEY COUNTY,61,MN,27,1197719,0,0,0,1197719,2021,1.06640363257404,0.0334177701103442
619,279163,WASHINGTON COUNTY,61,MN,27,702134,0,0,0,702134,2021,2.38259022273923,0.11280634096283
620,279999,MN NONENTITLEMENT,21,MN,27,19239316,2202778,8397210,283537,30122841,2021,45.4224365788584,22.748925921173
621,280612,GULFPORT,51,MS,28,725910,0,487232,0,1213142,2021,0.777909582391181,0.0139792040249377
622,280630,HATTIESBURG,51,MS,28,530462,0,297029,0,827491,2021,1.36990308945377,0.0134155565556449
623,341434,IRVINGTON,52,NJ,34,1210037,0,480162,0,1690199,2021,0.145083583200488,0.000808946037161974
624,341464,JERSEY CITY,51,NJ,34,5818576,498420,2125407,2381307,10823710,2021,0.600106697201619,0.00411979707681048
625,341566,LAKEWOOD TOWNSHIP,52,NJ,34,884481,0,0,0,884481,2021,0.414939307223441,0.00692058670844836
626,341716,LONG BRANCH,52,NJ,34,483486,0,0,0,483486,2021,0.280303086042585,0.00142674328345916
627,341974,MIDDLETOWN,52,NJ,34,267762,0,0,0,267762,2021,0.985030429479616,0.0114128767280025
628,342016,MILLVILLE,52,NJ,34,294136,0,0,0,294136,2021,0.573458292407773,0.0120288858976389
629,342190,NEWARK,51,NJ,34,7417363,624893,2739395,5768156,16549807,2021,0.636262714742351,0.00672826400493088
630,342196,NEW BRUNSWICK,51,NJ,34,859975,0,525058,0,1385033,2021,0.26758748826585,0.00158108062380644
631,342250,NORTH BERGEN TOWNSHIP,52,NJ,34,715701,0,0,0,715701,2021,0.286153988019339,0.00144806895044216
632,342340,OCEAN CITY,51,NJ,34,285626,0,0,0,285626,2021,0.765918633162586,0.00192774075728887
633,342378,OLD BRIDGE TOWNSHIP,52,NJ,34,255819,0,0,0,255819,2021,0.635363045969725,0.0108536726245499
634,342448,PARSIPPANY-TROYHILLS TWP,52,NJ,34,236520,0,0,0,236520,2021,0.579312645664438,0.00702517799379156
635,340138,BAYONNE,52,NJ,34,1511913,0,0,0,1511913,2021,0.427009755774159,0.00160179967063447
636,340246,BLOOMFIELD,52,NJ,34,1045161,0,0,0,1045161,2021,0.223338064159251,0.00147286159059094
637,340318,BRICK TOWNSHIP,52,NJ,34,311300,0,0,0,311300,2021,1.20012247288207,0.0072021539599231
638,340324,BRIDGETON,51,NJ,34,345533,0,0,0,345533,2021,0.26759840350351,0.00212454225998764
639,339999,NH NONENTITLEMENT,21,NH,33,9333410,933800,3741930,0,14009140,2021,13.102648379899,2.63503192148838
640,361380,COLONIE TOWN,52,NY,36,374732,0,0,0,374732,2021,0.754017641926397,0.0164693499097496
641,361756,DUNKIRK,52,NY,36,446818,0,0,0,446818,2021,0.218550690377597,0.00127914174853623
642,362000,ELMIRA,51,NY,36,1191938,0,308969,0,1500907,2021,0.209552179445334,0.00213512094404206
643,390066,ALLIANCE,52,OH,39,619449,0,0,0,619449,2021,0.441234231510367,0.00250780248279927
644,390294,BARBERTON,52,OH,39,660648,0,0,0,660648,2021,0.442493735116577,0.00256638886135936
645,390600,BOWLING GREEN,52,OH,39,307838,0,0,0,307838,2021,0.721154731615787,0.00399140903010268
646,390858,CANTON,51,OH,39,2641759,227094,710066,0,3578919,2021,1.70604766167709,0.00728453420782301
647,391062,CINCINNATI,51,OH,39,11603976,997610,2737925,1281332,16620843,2021,2.08698660487437,0.0212332861371948
648,391104,CLEVELAND,51,OH,39,21569725,1852356,4893451,1773969,30089501,2021,1.64216192832101,0.02181115954753
649,366588,UNION TOWN,52,NY,36,1250860,0,0,0,1250860,2021,0.553112384542065,0.0101764102385637
650,366612,UTICA,51,NY,36,2563407,218933,670143,0,3452483,2021,0.470979136295981,0.00487219301820949
651,366848,WATERTOWN CITY,51,NY,36,930085,0,0,0,930085,2021,0.389960076687871,0.00306699471312655
652,360556,BINGHAMTON,51,NY,36,1926237,165307,534218,0,2625762,2021,0.408144168116954,0.00345470832078373
653,360744,BROOKHAVEN TOWN,52,NY,36,2241714,189842,935068,2265552,5632176,2021,3.96107622468774,0.0722777487481082
654,360784,BUFFALO,51,NY,36,13926260,1197642,3388479,855971,19368352,2021,0.696628045191291,0.0117336298476042
655,361152,CHEEKTOWAGA TOWN,51,NY,36,1041515,0,0,0,1041515,2021,0.404202165493615,0.00841795129412158
656,366376,SYRACUSE,51,NY,36,5083142,431664,1416256,412909,7343971,2021,0.554345167660125,0.00732663950248739
657,366468,TONAWANDA TOWN,52,NY,36,1701621,145087,0,0,1846708,2021,0.412168922099325,0.00535635967095263
658,366500,TROY,51,NY,36,1797827,156002,0,0,1953829,2021,0.28786746157564,0.00314803924267551
659,362480,GLEN FALLS,51,NY,36,502909,0,0,0,502909,2021,0.187099090531798,0.00114638635402208
